exp.ID,P.layer,P.row,P.col,layer,row,col,replicate,replicate.raw,Generation,treat,treat.1,ecotype,id,flt,height,diam,biomass,fruit,rm
149,9,9_2,1,8,6,7,5,5,F2,Cd1,Cd1,Tri-0,617,16,26.1,2.8,27.9,53,FALSE
150,11,11_7,4,5,1,14,6,6,F2,Cd1,Cd1,Tri-0,858,19,17.2,NA,20.3,43,FALSE
151,7,7_2,3,6,5,13,4,4,F3,Cd1,Cd1,Abd-0,451,51,33.2,9.8,486,168,FALSE
152,9,9_2,5,16,1,10,5,5,F3,Cd1,Cd1,Abd-0,621,50,34.1,11.1,536.3,274,FALSE
153,11,11_7,2,7,2,1,6,6,F3,Cd1,Cd1,Abd-0,856,NA,NA,NA,NA,NA,TRUE
154,7,7_2,12,12,1,6,4,4,F3,Cd1,Cd1,Ang-0,460,47,46.2,8.5,433.8,496,FALSE
155,9,9_2,2,8,6,10,5,5,F3,Cd1,Cd1,Ang-0,618,49,40.7,7.1,341.8,333,FALSE
156,11,11_7,12,14,2,4,6,6,F3,Cd1,Cd1,Ang-0,866,34,48.2,7.6,NA,579,FALSE
157,7,7_2,9,9,4,13,4,4,F3,Cd1,Cd1,aaCol-0,457,20,41,6.9,NA,591,FALSE
158,9,9_2,8,7,3,5,5,5,F3,Cd1,Cd1,aaCol-0,624,22,47.3,10.3,225.9,202,FALSE
159,11,11_7,11,1,2,1,6,6,F3,Cd1,Cd1,aaCol-0,865,30,56.7,10.7,NA,345,FALSE
160,7,7_2,11,1,2,8,4,4,F3,Cd1,Cd1,Dja-1,459,37,22.3,8.3,237.7,592,FALSE
161,9,9_2,12,7,5,2,5,5,F3,Cd1,Cd1,Dja-1,628,24,26.1,8.2,245.5,223,FALSE
162,11,11_7,7,12,3,12,6,6,F3,Cd1,Cd1,Dja-1,861,30,21.4,6.2,146.32,344,FALSE
163,7,7_2,2,11,3,3,4,4,F3,Cd1,Cd1,Fei-0,450,47,47.8,12.4,928.4,321,FALSE
164,9,9_2,10,5,4,2,5,5,F3,Cd1,Cd1,Fei-0,626,45,56.6,13.7,776.1,260,FALSE
165,11,11_7,9,5,4,8,6,6,F3,Cd1,Cd1,Fei-0,863,23,26.2,6.8,222.4,329,FALSE
166,7,7_2,14,7,5,8,4,4,F3,Cd1,Cd1,Ler-0,462,18,22.5,4.3,NA,110,FALSE
167,9,9_2,3,2,6,11,5,5,F3,Cd1,Cd1,Ler-0,619,22,NA,NA,102.5,NA,FALSE
168,11,11_7,10,1,1,10,6,6,F3,Cd1,Cd1,Ler-0,864,20,22.3,5.1,84.6,132,FALSE
169,7,7_2,1,11,5,3,4,4,F3,Cd1,Cd1,Sap-0,449,28,50,8.7,356.7,403,FALSE
170,9,9_2,6,12,1,3,5,5,F3,Cd1,Cd1,Sap-0,622,27,49.9,8.8,226.1,527,FALSE
171,11,11_7,13,4,2,8,6,6,F3,Cd1,Cd1,Sap-0,867,34,54.2,5.2,203,292,FALSE
172,7,7_2,5,5,4,3,4,4,F3,Cd1,Cd1,Tol-0,453,27,44.7,10.1,345.2,261,FALSE
173,9,9_2,9,6,6,9,5,5,F3,Cd1,Cd1,Tol-0,625,35,44.3,9.8,318.1,201,FALSE
174,11,11_7,3,11,6,7,6,6,F3,Cd1,Cd1,Tol-0,857,26,45.1,12.3,585,402,FALSE
175,7,7_2,10,7,6,1,4,4,F3,Cd1,Cd1,TRE-1,458,45,48.9,9.8,489.6,208,FALSE
176,9,9_2,13,6,6,10,5,5,F3,Cd1,Cd1,TRE-1,629,62,38.8,10.5,497.2,59,FALSE
177,11,11_7,14,11,1,6,6,6,F3,Cd1,Cd1,TRE-1,868,55,48.7,10.7,837.1,246,FALSE
178,7,7_2,7,9,2,10,4,4,F3,Cd1,Cd1,Tri-0,455,37,54.9,16,607.9,477,FALSE
179,9,9_2,1,11,3,11,5,5,F3,Cd1,Cd1,Tri-0,617,36,59.2,13.8,894.8,502,FALSE
180,11,11_7,4,15,5,11,6,6,F3,Cd1,Cd1,Tri-0,858,46,48.1,10.4,504.8,173,FALSE
181,7,7_2,3,15,3,6,4,4,F4,Cd1,Cd1,Abd-0,451,30,31.6,11,394,290,FALSE
182,9,9_2,5,1,5,6,5,5,F4,Cd1,Cd1,Abd-0,621,58,31.8,9,423.8,130,FALSE
183,11,11_7,2,13,3,12,6,6,F4,Cd1,Cd1,Abd-0,856,59,34.5,8.6,503.7,230,FALSE
184,7,7_2,12,7,6,10,4,4,F4,Cd1,Cd1,Ang-0,460,46,38.2,7.8,NA,232,FALSE
185,9,9_2,2,4,1,12,5,5,F4,Cd1,Cd1,Ang-0,618,46,38.2,8.2,229.1,270,FALSE
186,11,11_7,12,14,5,3,6,6,F4,Cd1,Cd1,Ang-0,866,42,41.6,6.8,348.8,240,FALSE
187,7,7_2,9,2,2,6,4,4,F4,Cd1,Cd1,aaCol-0,457,25,45.6,9.6,NA,362,FALSE
188,9,9_2,8,4,1,5,5,5,F4,Cd1,Cd1,aaCol-0,624,30,57.2,11.2,246.7,262,FALSE
189,11,11_7,11,3,5,3,6,6,F4,Cd1,Cd1,aaCol-0,865,30,NA,NA,NA,NA,FALSE
190,7,7_2,11,4,5,5,4,4,F4,Cd1,Cd1,Dja-1,459,34,20.5,8.2,338.3,509,FALSE
191,9,9_2,12,9,6,3,5,5,F4,Cd1,Cd1,Dja-1,628,34,28.6,7.5,405.9,402,FALSE
192,11,11_7,7,7,5,14,6,6,F4,Cd1,Cd1,Dja-1,861,33,20.8,7.5,352.5,322,FALSE
193,7,7_2,2,5,5,15,4,4,F4,Cd1,Cd1,Fei-0,450,36,60.1,10.2,508,230,FALSE
