"","gen","trait","Estimate","Std. Error","df","t value","Pr(>|t|)","ecotype","treat"
"ecotypeWs-2:treat.1Salt14","Anc","fruit",-123.717001007055,36.5795654525332,662.014912859438,-3.38213424562393,0.000761589753512986,"Ws-2","Salt1"
"ecotypeaaCol-0:treat.1Salt24","Anc","fruit",-167.273560860239,37.0949735793566,662.383773590808,-4.50933225501276,7.69120021833267e-06,"aaCol-0","Salt2"
"ecotypeAng-1:treat.1Salt24","Anc","fruit",-119.595573059188,39.3895615651991,669.220898671945,-3.03622503797684,0.00248865611301966,"Ang-1","Salt2"
"ecotypeEn-1:treat.1Salt24","Anc","fruit",-78.2170010070546,36.5795654525333,662.014912861386,-2.13827037143324,0.0328602490928202,"En-1","Salt2"
"ecotypeFei-0:treat.1Salt24","Anc","fruit",-195.144064986812,38.4907540621649,666.760438787744,-5.06989456926831,5.16309012761164e-07,"Fei-0","Salt2"
"ecotypeKar-1:treat.1Salt24","Anc","fruit",-191.694894279415,37.7563088061541,666.48653628294,-5.07716194566586,4.97713448990159e-07,"Kar-1","Salt2"
"ecotypeOlympia-0:treat.1Salt24","Anc","fruit",-221.300334340388,36.5795654525332,662.014912860359,-6.04983497213913,2.42563730470802e-09,"Olympia-0","Salt2"
"ecotypeSap-0:treat.1Salt24","Anc","fruit",-80.6938457058569,40.0146546008553,672.360580278169,-2.01660732825949,0.0441335913148389,"Sap-0","Salt2"
"ecotypeTol-0:treat.1Salt24","Anc","fruit",-114.901234009727,47.4756184760051,680.82499899387,-2.42021563274209,0.0157720460138507,"Tol-0","Salt2"
"ecotypeTRE-1:treat.1Salt24","Anc","fruit",-101.75237469069,42.1544029122214,675.723576203532,-2.41380182522263,0.0160519420645959,"TRE-1","Salt2"
"ecotypeTri-1:treat.1Salt24","Anc","fruit",-96.8795453597801,38.4914467826891,666.8556475409,-2.51691098821856,0.0120723047991162,"Tri-1","Salt2"
"ecotypeWs-2:treat.1Salt24","Anc","fruit",-114.383667673721,36.5795654525333,662.01491287196,-3.12698268168738,0.00184348901030569,"Ws-2","Salt2"
"ecotypeaaCol-0:treat.1JA","Anc","flt",0.999999999999841,3.77163493371003,123.127880122617,0.265137007577819,0.791347287277345,"aaCol-0","JA"
"ecotypeAbd-0:treat.1JA","Anc","flt",-7.82068704118042,5.3488694180779,125.930397654932,-1.46211964247031,0.146199501155094,"Abd-0","JA"
"ecotypeAng-1:treat.1JA","Anc","flt",-0.499999999999999,3.77163493371003,123.12788014471,-0.13256850378893,0.89475104573434,"Ang-1","JA"
"ecotypeDja-1:treat.1JA","Anc","flt",7.49999999999999,3.77163493371003,123.127880156717,1.98852755683395,0.0489711124209126,"Dja-1","JA"
"ecotypeEn-1:treat.1JA","Anc","flt",-0.833333333333334,3.77163493371002,123.127880165862,-0.220947506314884,0.825499281125299,"En-1","JA"
"ecotypeFei-0:treat.1JA","Anc","flt",1.33333333333334,3.77163493371002,123.127880167345,0.353516010103816,0.724306197516852,"Fei-0","JA"
"ecotypeKar-1:treat.1JA","Anc","flt",-2.16666666666667,3.77163493371003,123.127880148274,-0.574463516418699,0.566702251848528,"Kar-1","JA"
"ecotypeLer-0:treat.1JA","Anc","flt",-1.42936537279529,3.95772815212708,123.70995930134,-0.361158047711558,0.718597333697007,"Ler-0","JA"
"ecotypeOlympia-0:treat.1JA","Anc","flt",1.26771239224915e-15,3.77163493371003,123.127880148228,3.36117470150311e-16,1,"Olympia-0","JA"
"ecotypeSap-0:treat.1JA","Anc","flt",-2.33333333333333,3.77163493371002,123.127880178409,-0.618653017681674,0.537287799588652,"Sap-0","JA"
"ecotypeTol-0:treat.1JA","Anc","flt",7.6131467528799,5.00150650124315,125.632252026157,1.52217072015954,0.130479390225255,"Tol-0","JA"
"ecotypeTRE-1:treat.1JA","Anc","flt",-7.84789322269687,3.95776220870465,123.729314375269,-1.98291175893193,0.0495924079852039,"TRE-1","JA"
"ecotypeTri-1:treat.1JA","Anc","flt",-1.33333333333332,3.77163493371002,123.127880160328,-0.353516010103811,0.72430619751689,"Tri-1","JA"
"ecotypeWs-2:treat.1JA","Anc","flt",1.62430082669775,3.95775989767044,123.727990633903,0.410409137667452,0.68221566797106,"Ws-2","JA"
"ecotypeaaCol-0:treat.1JA1","Anc","height",2.44999999999977,4.18359388053677,130.921181830015,0.585620896760043,0.559138429568585,"aaCol-0","JA"
"ecotypeAbd-0:treat.1JA1","Anc","height",0.536988964956042,4.58267760153012,130.964206217097,0.117177993227528,0.906898517001905,"Abd-0","JA"
"ecotypeAng-1:treat.1JA1","Anc","height",-3.33333333333334,4.18359388053677,130.921181856436,-0.796763124843671,0.427031136324269,"Ang-1","JA"
"ecotypeDja-1:treat.1JA1","Anc","height",-1.56666666666666,4.18359388053677,130.921181861373,-0.374478668676523,0.708654083186911,"Dja-1","JA"
"ecotypeEn-1:treat.1JA1","Anc","height",-5.89541871743807,4.3876716171395,130.947458880427,-1.34363262155009,0.181390887284857,"En-1","JA"
"ecotypeFei-0:treat.1JA1","Anc","height",1.12578266949782,4.38767110752435,130.947555924399,0.256578636344741,0.797906746241818,"Fei-0","JA"
"ecotypeKar-1:treat.1JA1","Anc","height",4.45000000000001,4.18359388053677,130.921181864301,1.0636787716663,0.289432199130276,"Kar-1","JA"
"ecotypeLer-0:treat.1JA1","Anc","height",-0.0833333333333253,4.18359388053677,130.921181861137,-0.0199190781210898,0.984138251428341,"Ler-0","JA"
"ecotypeOlympia-0:treat.1JA1","Anc","height",-0.815390091407705,4.67713026322751,130.9708807876,-0.174335553110089,0.861870954610519,"Olympia-0","JA"
"ecotypeSap-0:treat.1JA1","Anc","height",0.64912733635518,4.38767928830025,130.945984636796,0.147943204984484,0.882615157078396,"Sap-0","JA"
"ecotypeTol-0:treat.1JA1","Anc","height",10.05,4.18359388053677,130.921181863059,2.40224082140367,0.0176985069663601,"Tol-0","JA"
"ecotypeTRE-1:treat.1JA1","Anc","height",15.030105172256,4.38767928830378,130.945984632211,3.42552501782017,0.000820012088972429,"TRE-1","JA"
"ecotypeTri-1:treat.1JA1","Anc","height",-3.32988731257866,4.38767110752435,130.947555927606,-0.758919078248206,0.449264868462529,"Tri-1","JA"
"ecotypeWs-2:treat.1JA1","Anc","height",-0.733333333333329,4.18359388053677,130.921181864677,-0.175287887465607,0.861124239238894,"Ws-2","JA"
"ecotypeaaCol-0:treat.1JA2","Anc","diam",1.56666666666664,1.23923116667009,71.6264044584328,1.26422471351845,0.210247963312059,"aaCol-0","JA"
"ecotypeAbd-0:treat.1JA2","Anc","diam",-1.78860635478648,1.35444869880795,79.9844702148613,-1.32054197132798,0.190420307148127,"Abd-0","JA"
"ecotypeAng-1:treat.1JA2","Anc","diam",-0.445832299718146,1.2980334318257,76.0693532702211,-0.343467501519646,0.732194274948466,"Ang-1","JA"
"ecotypeDja-1:treat.1JA2","Anc","diam",-1.3831704398555,1.5107121276219,87.3053255874053,-0.915575121537435,0.362411777046218,"Dja-1","JA"
"ecotypeEn-1:treat.1JA2","Anc","diam",-2.17738267752479,1.43456711543833,84.6561062938368,-1.51779770642484,0.132791124715563,"En-1","JA"
"ecotypeFei-0:treat.1JA2","Anc","diam",-0.151973022023695,1.35262819726092,77.9729410869666,-0.112353876942268,0.910831571362092,"Fei-0","JA"
"ecotypeKar-1:treat.1JA2","Anc","diam",-0.723776396243087,1.77842980526936,94.7749623819864,-0.406974958527229,0.684944047449262,"Kar-1","JA"
"ecotypeLer-0:treat.1JA2","Anc","diam",-1.70144239529122,2.44338701250022,99.6334234447198,-0.696345845576957,0.487833609390513,"Ler-0","JA"
"ecotypeOlympia-0:treat.1JA2","Anc","diam",-1.51576460064477,1.38185334281142,81.1006990823627,-1.09690699706302,0.275928383688665,"Olympia-0","JA"
