layer,P.layer,P.row,replicate,Row,Col,treat.1,Generation,ecotype,treat,flt,height,diam,biomass,fruit,rm,id
4,11,11_2,6,6,3,JActr,F2,aaCol-0,JActr,33,40,10.2,285.8,160,FALSE,791
4,11,11_3,6,6,11,JA,F2,aaCol-0,JA,29,34,8,189.7,178,FALSE,807
12,11,11_4,6,6,7,Cd2,F2,aaCol-0,Cd2,31,35.2,8.6,304,238,FALSE,819
4,11,11_5,6,4,3,Salt1,F2,aaCol-0,Salt1,32,46.5,10.7,210.8,129,FALSE,840
4,11,11_6,6,5,8,Salt2,F2,aaCol-0,Salt2,30,48.5,11.2,227.6,187,FALSE,842
4,11,11_7,6,4,5,Cd1,F2,aaCol-0,Cd1,28,50.6,7.2,208.3,187,FALSE,865
4,12,12_3,6,1,4,Drought,F2,aaCol-0,Drought,29,45.4,10.3,295.8,167,FALSE,870
4,12,12_4,6,2,6,Nutrient2,F2,aaCol-0,Nutrient2,27,41,9.7,225.6,151,FALSE,887
12,12,12_5,6,4,4,actr,F2,aaCol-0,actr2,29,40,9.7,314.5,190,FALSE,904
12,12,12_6,6,4,10,Leaf,F2,aaCol-0,Leaf,30,39.5,7.8,258.9,156,FALSE,918
12,12,12_7,6,1,8,Nutrient1,F2,aaCol-0,Nutrient1,28,45.5,10.4,329.7,176,FALSE,928
6,6,6_1,3,4,8,Leaf,F2,aaCol-0,Leaf,28,42,10.6,347.4,333,FALSE,948
6,6,6_2,3,6,8,Nutrient1,F2,aaCol-0,Nutrient1,31,42.1,11.2,370.6,271,FALSE,957
6,6,6_3,3,1,8,Drought,F2,aaCol-0,Drought,28,39.3,9.1,259.6,255,FALSE,969
2,6,6_5,3,1,6,Nutrient2,F2,aaCol-0,Nutrient2,33,40.8,8.9,247.8,155,FALSE,988
6,6,6_7,3,1,9,actr,F2,aaCol-0,actr2,29,45,10.3,373.6,209,FALSE,1004
1,1,1_1,1,1,11,JA,F3,aaCol-0,JA,37,42,11.6,353,147,FALSE,4
11,1,1_2,1,2,3,Salt1,F3,aaCol-0,Salt1,28,43.8,11.5,296.9,183,FALSE,17
1,1,1_3,1,1,7,Salt2,F3,aaCol-0,Salt2,30,40.2,9.5,265.1,186,FALSE,40
1,1,1_4,1,6,13,Cd2,F3,aaCol-0,Cd2,39,51,14.2,479.9,214,FALSE,54
1,1,1_5,1,6,6,actr,F3,aaCol-0,actr1,30,43.5,13.7,342.3,193,FALSE,69
1,1,1_6,1,4,2,Cd1,F3,aaCol-0,Cd1,34,49,12.2,300.3,210,FALSE,83
1,1,1_7,1,4,12,JActr,F3,aaCol-0,JActr,36,41.5,11.6,356.6,182,FALSE,85
1,2,2_1,1,4,3,Nutrient2,F3,aaCol-0,Nutrient2,30,44.5,12,302.6,187,FALSE,105
1,2,2_4,1,1,10,Drought,F3,aaCol-0,Drought,35,42.4,11.3,370.8,168,FALSE,140
1,2,2_5,1,5,3,Leaf,F3,aaCol-0,Leaf,31,50.3,12,318.9,250,FALSE,148
11,2,2_6,1,2,6,Nutrient1,F3,aaCol-0,Nutrient1,30,43.4,11.2,303.9,178,FALSE,158
6,3,3_1,2,3,7,JA,F3,aaCol-0,JA,27,42.3,10.7,291.7,232,FALSE,173
6,3,3_2,2,1,6,Salt2,F3,aaCol-0,Salt2,28,34.5,10.2,306.5,217,FALSE,186
6,3,3_3,2,3,8,Salt1,F3,aaCol-0,Salt1,30,42.3,10.1,284.3,163,FALSE,204
6,3,3_4,2,4,5,Cd2,F3,aaCol-0,Cd2,26,43.7,11.4,329.9,183,FALSE,219
4,3,3_5,2,2,3,actr,F3,aaCol-0,actr1,31,39.2,12,337.4,190,FALSE,238
6,3,3_6,2,1,11,JActr,F3,aaCol-0,JActr,26,44.1,10.2,295.6,224,FALSE,240
4,3,3_7,2,5,9,Cd1,F3,aaCol-0,Cd1,31,53.5,14,343.8,163,FALSE,258
6,4,4_1,2,5,6,Drought,F3,aaCol-0,Drought,30,43.2,10.6,337,161,FALSE,270
6,4,4_3,2,1,5,Leaf,F3,aaCol-0,Leaf,30,50.4,12.3,413.7,198,FALSE,288
6,4,4_4,2,1,8,Nutrient1,F3,aaCol-0,Nutrient1,31,48.2,12.6,366.8,115,FALSE,304
4,4,4_6,2,1,8,actr,F3,aaCol-0,actr2,31,36,11.5,321.3,113,FALSE,320
6,4,4_7,2,6,13,Nutrient2,F3,aaCol-0,Nutrient2,30,40.2,11,303.3,157,FALSE,330
8,5,5_1,3,1,8,Salt1,F3,aaCol-0,Salt1,26,48.1,11.2,236.2,200,FALSE,338
12,5,5_2,3,5,4,JActr,F3,aaCol-0,JActr,28,43,12.1,409.6,180,FALSE,363
12,5,5_3,3,2,7,Cd1,F3,aaCol-0,Cd1,26,40,10.5,285.4,195,FALSE,367
8,5,5_4,3,1,12,Cd2,F3,aaCol-0,Cd2,27,39.9,12.2,299.9,277,FALSE,390
8,5,5_5,3,1,4,JA,F3,aaCol-0,JA,28,38.8,9.8,205.7,125,FALSE,401
8,5,5_6,3,3,12,Salt2,F3,aaCol-0,Salt2,26,32.4,10.2,152.7,167,FALSE,413
12,5,5_7,3,4,7,actr,F3,aaCol-0,actr1,26,43.8,11.6,409,295,FALSE,434
10,7,7_1,4,2,12,Cd2,F3,aaCol-0,Cd2,34,37.8,9,153.2,118,FALSE,438
3,7,7_2,4,4,10,Cd1,F3,aaCol-0,Cd1,30,42.4,10.9,255.6,140,FALSE,457
3,7,7_3,4,5,8,JA,F3,aaCol-0,JA,30,49.3,13.3,415.2,285,FALSE,468
3,7,7_4,4,1,11,actr,F3,aaCol-0,actr1,28,44.4,11.9,232.8,115,FALSE,482
10,7,7_5,4,6,8,Salt1,F3,aaCol-0,Salt1,31,42,10.8,214.9,133,FALSE,491
10,7,7_6,4,2,5,JActr,F3,aaCol-0,JActr,29,39,9.4,211.1,148,FALSE,516
